Estabelecimento,CodigoEstabelecimento,UnidadeOrganica,CodigoUnidadeOrganica,Natureza,TipoEnsino,NomeCurso,CodigoCurso,Grau,NumeroDiplomadosCurso,AmostraAceite,NumeroDiplomadosDesempregados,TaxaDesempregoRegistadoCurso,AnosLetivosDiplomados,Fonte
Universidade de Lisboa,1500,Faculdade de Arquitectura,1501,Público,Universitário,Arquitectura,9257,Mestrado Integrado,428,Sim,64,"14,9",2009/10_2012/13,DGES
Universidade de Lisboa,1500,Faculdade de Arquitectura,1501,Público,Universitário,"Arquitetura, na área de especialização em Urbanismo",G004,Mestrado Integrado,154,Sim,23,"14,9",2009/10_2012/13,DGES
Instituto Politécnico de Tomar,3240,Escola Superior de Tecnologia de Tomar,3242,Público,Politécnico,Design e Tecnologia das Artes Gráficas,9644,Licenciatura,154,Sim,23,"14,9",2009/10_2012/13,DGES
Instituto Universitário da Maia - ISMAI,4358,Instituto Universitário da Maia - ISMAI,4358,Privado,Universitário,Gestão de Empresas,9152,Licenciatura,249,Sim,37,"14,9",2009/10_2012/13,DGEEC
Universidade do Minho,1000,Universidade do Minho,1000,Público,Universitário,Engenharia Civil,9360,Mestrado Integrado,412,Sim,61,"14,8",2009/10_2012/13,DGES
Universidade Autónoma de Lisboa Luís de Camões,2100,Universidade Autónoma de Lisboa Luís de Camões,2100,Privado,Universitário,Arquitectura,9257,Mestrado Integrado,81,Sim,12,"14,8",2009/10_2012/13,DGEEC
Instituto Politécnico de Beja,3020,Escola Superior de Educação,3022,Público,Politécnico,Serviço Social,9238,Licenciatura,215,Sim,32,"14,8",2009/10_2012/13,DGES
Instituto Politécnico do Cávado e do Ave,3030,Escola Superior de Tecnologia,3032,Público,Politécnico,Design Industrial,9074,Licenciatura,141,Sim,21,"14,8",2009/10_2012/13,DGES
Instituto Politécnico de Bragança,3040,Escola Superior de Educação de Bragança,3042,Público,Politécnico,Música,9214,Licenciatura,47,Sim,7,"14,8",2009/10_2012/13,DGES
Instituto Politécnico de Coimbra,3060,Escola Superior de Educação de Coimbra,3062,Público,Politécnico,Turismo,9254,Licenciatura,188,Sim,28,"14,8",2009/10_2012/13,DGES
Universidade de Aveiro,300,Universidade de Aveiro,300,Público,Universitário,Línguas e Estudos Editoriais,9194,Licenciatura,68,Sim,10,"14,7",2009/10_2012/13,DGES
Universidade de Évora,600,Escola de Ciências e Tecnologia,602,Público,Universitário,Geografia,9143,Licenciatura,34,Sim,5,"14,7",2009/10_2012/13,DGES
Universidade do Porto,1100,Faculdade de Letras,1107,Público,Universitário,Geografia,9143,Licenciatura,203,Sim,30,"14,7",2009/10_2012/13,DGES
Universidade Lusíada do Porto,2401,Universidade Lusíada do Porto,2401,Privado,Universitário,Direito,9078,Licenciatura,448,Sim,66,"14,7",2009/10_2012/13,DGEEC
Instituto Politécnico de Coimbra,3060,Escola Superior Agrária de Coimbra,3061,Público,Politécnico,Tecnologia e Gestão Ambiental,L024,Licenciatura,149,Sim,22,"14,7",2009/10_2012/13,DGES
Universidade Lusófona do Porto,4032,Universidade Lusófona do Porto,4032,Privado,Universitário,Gestão,9147,Licenciatura,102,Sim,15,"14,7",2009/10_2012/13,DGEEC
Universidade Católica Portuguesa,2200,Escola das Artes,2265,Privado,Universitário,Som e Imagem,9457,Licenciatura,205,Sim,30,"14,6",2009/10_2012/13,DGEEC
Instituto Politécnico de Castelo Branco,3050,Escola Superior Agrária de Castelo Branco,3051,Público,Politécnico,Enfermagem Veterinária,9085,Licenciatura,89,Sim,13,"14,6",2009/10_2012/13,DGES
Instituto Politécnico de Coimbra,3060,Instituto Superior de Engenharia de Coimbra,3064,Público,Politécnico,Engenharia Civil,9089,Licenciatura,267,Sim,39,"14,6",2009/10_2012/13,DGES
Instituto Politécnico de Leiria,3100,Escola Superior de Tecnologia e Gestão,3102,Público,Politécnico,Administração Pública,9002,Licenciatura,109,Sim,16,"14,6",2009/10_2012/13,DGES
Instituto Politécnico de Viseu,3180,Escola Superior de Tecnologia e Gestão de Viseu,3182,Público,Politécnico,Engenharia do Ambiente,9099,Licenciatura,89,Sim,13,"14,6",2009/10_2012/13,DGES
Universidade Lusófona de Humanidades e Tecnologias,2800,Universidade Lusófona de Humanidades e Tecnologias,2800,Privado,Universitário,Informática de Gestão,9186,Licenciatura,76,Sim,11,"14,5",2009/10_2012/13,DGEEC
Instituto Superior de Administração e Gestão,4200,Instituto Superior de Administração e Gestão,4200,Privado,Politécnico,Turismo,9254,Licenciatura,110,Sim,16,"14,5",2009/10_2012/13,DGEEC
Universidade do Minho,1000,Universidade do Minho,1000,Público,Universitário,Economia,9081,Licenciatura,249,Sim,36,"14,4",2009/10_2012/13,DGES
Universidade de Lisboa,1500,Faculdade de Motricidade Humana,1510,Público,Universitário,Gestão do Desporto,9162,Licenciatura,83,Sim,12,"14,4",2009/10_2012/13,DGES
Instituto Politécnico de Castelo Branco,3050,Escola Superior Agrária de Castelo Branco,3051,Público,Politécnico,Engenharia de Protecção Civil,8397,Licenciatura,83,Sim,12,"14,4",2009/10_2012/13,DGES
Instituto Politécnico de Viseu,3180,Escola Superior Agrária de Viseu,3185,Público,Politécnico,Enfermagem Veterinária,9085,Licenciatura,166,Sim,24,"14,4",2009/10_2012/13,DGES
Instituto Politécnico de Viseu,3180,Escola Superior de Tecnologia e Gestão de Lamego,3186,Público,Politécnico,Serviço Social,9238,Licenciatura,277,Sim,40,"14,4",2009/10_2012/13,DGES
CESPU-Instituto Politécnico de Saúde do Norte,4107,Escola Superior de Saúde do Vale do Ave,4108,Privado,Politécnico,Enfermagem,9500,Licenciatura,298,Sim,43,"14,4",2009/10_2012/13,DGEEC
Instituto Superior de Ciências da Saúde Egas Moniz,4260,Instituto Superior de Ciências da Saúde Egas Moniz,4260,Privado,Universitário,Ciências Forenses e Criminais,8059,Licenciatura,90,Sim,13,"14,4",2009/10_2012/13,DGEEC
Universidade Lusófona do Porto,4032,Universidade Lusófona do Porto,4032,Privado,Universitário,Gestão e Engenharia Industrial,9167,Licenciatura,49,Sim,7,"14,3",2009/10_2012/13,DGEEC
Instituto Superior de Ciências Empresariais e do Turismo,4280,Instituto Superior de Ciências Empresariais e do Turismo,4280,Privado,Politécnico,Solicitadoria,9242,Licenciatura,98,Sim,14,"14,3",2009/10_2012/13,DGEEC
Universidade do Porto,1100,Faculdade de Letras,1107,Público,Universitário,Filosofia,9139,Licenciatura,154,Sim,22,"14,2",2009/10_2012/13,DGES
Universidade de Lisboa,1500,Faculdade de Ciências,1503,Público,Universitário,Estatística Aplicada,9381,Licenciatura,42,Sim,6,"14,2",2009/10_2012/13,DGES
Instituto Politécnico de Bragança,3040,Escola Superior de Tecnologia e de Gestão de Bragança,3043,Público,Politécnico,Engenharia Química e Biológica,9126,Licenciatura,35,Sim,5,"14,2",2009/10_2012/13,DGES
Instituto Politécnico do Porto,3130,Escola Superior de Estudos Industriais e de Gestão,3133,Público,Politécnico,Recursos Humanos,9227,Licenciatura,126,Sim,18,"14,2",2009/10_2012/13,DGES
Instituto Politécnico de Santarém,3140,Escola Superior de Desporto de Rio Maior,3145,Público,Politécnico,Treino Desportivo,9808,Licenciatura,140,Sim,20,"14,2",2009/10_2012/13,DGES
Instituto Superior de Novas Profissões,4150,Instituto Superior de Novas Profissões,4150,Privado,Politécnico,Turismo,9254,Licenciatura,106,Sim,15,"14,2",2009/10_2012/13,DGEEC
Instituto Politécnico de Lisboa,3110,Escola Superior de Tecnologia da Saúde de Lisboa,7220,Público,Politécnico,Radioterapia,8153,Licenciatura,126,Sim,18,"14,2",2009/10_2012/13,DGES
Instituto Politécnico do Porto,3130,Escola Superior de Tecnologia da Saúde do Porto,7230,Público,Politécnico,Análises Clínicas e de Saúde Pública,9497,Licenciatura,112,Sim,16,"14,2",2009/10_2012/13,DGES
Instituto Politécnico de Portalegre,3120,Escola Superior de Tecnologia e Gestão,3122,Público,Politécnico,Administração de Publicidade e Marketing,9670,Licenciatura,99,Sim,14,"14,1",2009/10_2012/13,DGES
Instituto Politécnico do Porto,3130,Escola Superior de Educação,3131,Público,Politécnico,Gestão do Património,9767,Licenciatura,141,Sim,20,"14,1",2009/10_2012/13,DGES
Universidade Católica Portuguesa,2200,Faculdade de Ciências Humanas,2220,Privado,Universitário,Serviço Social,9238,Licenciatura,121,Sim,17,14,2009/10_2012/13,DGEEC
Universidade Católica Portuguesa,2200,Faculdade de Ciências Sociais,2221,Privado,Universitário,Tecnologias de Informação e Comunicação,9250,Licenciatura,50,Sim,7,14,2009/10_2012/13,DGEEC
Universidade Católica Portuguesa,2200,Faculdade de Filosofia,2230,Privado,Universitário,Psicologia,9219,Licenciatura,178,Sim,25,14,2009/10_2012/13,DGEEC
Universidade Lusíada do Porto,2401,Universidade Lusíada do Porto,2401,Privado,Universitário,Economia,9081,Licenciatura,107,Sim,15,14,2009/10_2012/13,DGEEC
Instituto Politécnico de Leiria,3100,Escola Superior de Educação e Ciências Sociais,3101,Público,Politécnico,Educação Social,9084,Licenciatura,327,Sim,46,14,2009/10_2012/13,DGES
Universidade do Minho,1000,Universidade do Minho,1000,Público,Universitário,Geografia e Planeamento,8183,Licenciatura,115,Sim,16,"13,9",2009/10_2012/13,DGES
Universidade Lusófona de Humanidades e Tecnologias,2800,Universidade Lusófona de Humanidades e Tecnologias,2800,Privado,Universitário,Engenharia Biotecnológica,9088,Licenciatura,36,Sim,5,"13,9",2009/10_2012/13,DGEEC
Instituto Politécnico de Tomar,3240,Escola Superior de Tecnologia de Abrantes,3243,Público,Politécnico,Comunicação Social,9054,Licenciatura,86,Sim,12,"13,9",2009/10_2012/13,DGES
Instituto Superior de Comunicação Empresarial,4295,Instituto Superior de Comunicação Empresarial,4295,Privado,Politécnico,Gestão de Marketing,9156,Licenciatura,79,Sim,11,"13,9",2009/10_2012/13,DGEEC
Instituto Politécnico de Coimbra,3060,Escola Superior de Tecnologia da Saúde de Coimbra,7210,Público,Politécnico,Dietética e Nutrição,8149,Licenciatura,43,Sim,6,"13,9",2009/10_2012/13,DGES
Universidade Lusófona de Humanidades e Tecnologias,2800,Universidade Lusófona de Humanidades e Tecnologias,2800,Privado,Universitário,Biologia,9011,Licenciatura,58,Sim,8,"13,8",2009/10_2012/13,DGEEC
Instituto Politécnico de Leiria,3100,Escola Superior de Artes e Design das Caldas da Rainha,3103,Público,Politécnico,Teatro,9243,Licenciatura,65,Sim,9,"13,8",2009/10_2012/13,DGES
Instituto Politécnico do Porto,3130,Escola Superior de Tecnologia e Gestão de Felgueiras,3138,Público,Politécnico,Ciências Empresariais,9045,Licenciatura,94,Sim,13,"13,8",2009/10_2012/13,DGES
Universidade do Minho,1000,Universidade do Minho,1000,Público,Universitário,Administração Pública,9002,Licenciatura,196,Sim,27,"13,7",2009/10_2012/13,DGES
Universidade Fernando Pessoa,2750,Escola Superior de Saúde,2752,Privado,Politécnico,Enfermagem,9500,Licenciatura,182,Sim,25,"13,7",2009/10_2012/13,DGEEC
Instituto Politécnico da Guarda,3090,Escola Superior de Turismo e Hotelaria,3095,Público,Politécnico,Turismo e Lazer,9255,Licenciatura,80,Sim,11,"13,7",2009/10_2012/13,DGES
Universidade do Algarve,200,Faculdade de Ciências Humanas e Sociais,201,Público,Universitário,Línguas e Comunicação,9834,Licenciatura,44,Sim,6,"13,6",2009/10_2012/13,DGES
Universidade do Porto,1100,Faculdade de Direito,1114,Público,Universitário,Criminologia,9066,Licenciatura,110,Sim,15,"13,6",2009/10_2012/13,DGES
Universidade de Lisboa,1500,Faculdade de Letras,1506,Público,Universitário,Arqueologia,9006,Licenciatura,66,Sim,9,"13,6",2009/10_2012/13,DGES
Instituto Politécnico de Castelo Branco,3050,Escola Superior de Educação de Castelo Branco,3052,Público,Politécnico,Desporto e Actividade Física,9850,Licenciatura,117,Sim,16,"13,6",2009/10_2012/13,DGES
Instituto Politécnico de Santarém,3140,Escola Superior de Educação de Santarém,3142,Público,Politécnico,Artes Plásticas e Multimédia,9347,Licenciatura,66,Sim,9,"13,6",2009/10_2012/13,DGES
Instituto Politécnico de Setúbal,3150,Escola Superior de Tecnologia do Barreiro,3154,Público,Politécnico,Engenharia Civil,9089,Licenciatura,183,Sim,25,"13,6",2009/10_2012/13,DGES
Universidade Lusófona do Porto,4032,Universidade Lusófona do Porto,4032,Privado,Universitário,Engenharia Informática,9119,Licenciatura,44,Sim,6,"13,6",2009/10_2012/13,DGEEC
Instituto Superior de Comunicação Empresarial,4295,Instituto Superior de Comunicação Empresarial,4295,Privado,Politécnico,Comunicação Empresarial,9053,Licenciatura,140,Sim,19,"13,6",2009/10_2012/13,DGEEC
Universidade de Évora,600,Escola de Ciências e Tecnologia,602,Público,Universitário,Bioquímica,9015,Licenciatura,81,Sim,11,"13,5",2009/10_2012/13,DGES
Universidade do Porto,1100,Faculdade de Letras,1107,Público,Universitário,"Ciências da Comunicação: Jornalismo, Assessoria, Multimédia",9701,Licenciatura,295,Sim,40,"13,5",2009/10_2012/13,DGES
Universidade Lusófona de Humanidades e Tecnologias,2800,Universidade Lusófona de Humanidades e Tecnologias,2800,Privado,Universitário,"Contabilidade, Fiscalidade e Auditoria",9065,Licenciatura,163,Sim,22,"13,5",2009/10_2012/13,DGEEC
Instituto Politécnico de Beja,3020,Escola Superior de Educação,3022,Público,Politécnico,Desporto,9563,Licenciatura,111,Sim,15,"13,5",2009/10_2012/13,DGES
Universidade do Algarve,200,"Escola Superior de Gestão, Hotelaria e Turismo (Portimão)",3087,Público,Politécnico,Informação e Animação Turística,9383,Licenciatura,59,Sim,8,"13,5",2009/10_2012/13,DGES
Instituto Politécnico da Guarda,3090,Escola Superior de Tecnologia e Gestão,3092,Público,Politécnico,Contabilidade,9056,Licenciatura,133,Sim,18,"13,5",2009/10_2012/13,DGES
Instituto Politécnico de Leiria,3100,Escola Superior de Tecnologia e Gestão,3102,Público,Politécnico,Protecção Civil,9218,Licenciatura,74,Sim,10,"13,5",2009/10_2012/13,DGES
Instituto Politécnico de Leiria,3100,Escola Superior de Tecnologia e Gestão,3102,Público,Politécnico,Tecnologia dos Equipamentos de Saúde,9489,Licenciatura,96,Sim,13,"13,5",2009/10_2012/13,DGES
Instituto Politécnico de Leiria,3100,Escola Superior de Artes e Design das Caldas da Rainha,3103,Público,Politécnico,Design de Produto - Cerâmica e Vidro,8525,Licenciatura,37,Sim,5,"13,5",2009/10_2012/13,DGES
Instituto Politécnico de Tomar,3240,Escola Superior de Gestão de Tomar,3241,Público,Politécnico,Gestão Turística e Cultural,9641,Licenciatura,103,Sim,14,"13,5",2009/10_2012/13,DGES
Instituto Politécnico do Porto,3130,Escola Superior de Tecnologia da Saúde do Porto,7230,Público,Politécnico,"Anatomia Patológica, Citológica e Tanatológica",8139,Licenciatura,74,Sim,10,"13,5",2009/10_2012/13,DGES
Universidade de Évora,600,Escola de Ciências Sociais,604,Público,Universitário,Economia,9081,Licenciatura,126,Sim,17,"13,4",2009/10_2012/13,DGES
Universidade Fernando Pessoa,2750,Universidade Fernando Pessoa,2750,Privado,Universitário,Engenharia Informática,9119,Licenciatura,67,Sim,9,"13,4",2009/10_2012/13,DGEEC
Instituto Politécnico do Cávado e do Ave,3030,Escola Superior de Gestão,3031,Público,Politécnico,Solicitadoria,9242,Licenciatura,238,Sim,32,"13,4",2009/10_2012/13,DGES
Instituto Politécnico do Porto,3130,Escola Superior de Estudos Industriais e de Gestão,3133,Público,Politécnico,Gestão e Administração Hoteleira,9164,Licenciatura,141,Sim,19,"13,4",2009/10_2012/13,DGES
Universidade de Évora,600,Escola de Ciências Sociais,604,Público,Universitário,História e Arqueologia,8251,Licenciatura,45,Sim,6,"13,3",2009/10_2012/13,DGES
Universidade do Minho,1000,Universidade do Minho,1000,Público,Universitário,Ciências da Comunicação,9023,Licenciatura,255,Sim,34,"13,3",2009/10_2012/13,DGES
Universidade Lusíada,2400,Universidade Lusíada,2400,Privado,Universitário,Psicologia,9219,Licenciatura,90,Sim,12,"13,3",2009/10_2012/13,DGEEC
Instituto Politécnico de Coimbra,3060,Escola Superior Agrária de Coimbra,3061,Público,Politécnico,Tecnologia Alimentar,L015,Licenciatura,187,Sim,25,"13,3",2009/10_2012/13,DGES
Instituto Politécnico de Portalegre,3120,Escola Superior de Tecnologia e Gestão,3122,Público,Politécnico,Relações Públicas e Secretariado,8394,Licenciatura,90,Sim,12,"13,3",2009/10_2012/13,DGES
Instituto Politécnico do Porto,3130,Instituto Superior de Contabilidade e Administração do Porto,3134,Público,Politécnico,Marketing,9205,Licenciatura,240,Sim,32,"13,3",2009/10_2012/13,DGES
Instituto Superior Miguel Torga,4500,Instituto Superior Miguel Torga,4500,Privado,Universitário,Informática de Gestão,9186,Licenciatura,30,Sim,4,"13,3",2009/10_2012/13,DGEEC
Universidade do Porto,1100,Faculdade de Letras,1107,Público,Universitário,Arqueologia,9006,Licenciatura,113,Sim,15,"13,2",2009/10_2012/13,DGES
Universidade de Lisboa,1500,Faculdade de Medicina Dentária,1508,Público,Universitário,Prótese Dentária,9791,Licenciatura,166,Sim,22,"13,2",2009/10_2012/13,DGES
Universidade Lusófona de Humanidades e Tecnologias,2800,Universidade Lusófona de Humanidades e Tecnologias,2800,Privado,Universitário,Ciências da Comunicação e da Cultura,9024,Licenciatura,129,Sim,17,"13,2",2009/10_2012/13,DGEEC
Instituto Politécnico de Castelo Branco,3050,Escola Superior de Gestão de Idanha-a-Nova,3054,Público,Politécnico,Solicitadoria,9242,Licenciatura,189,Sim,25,"13,2",2009/10_2012/13,DGES
Instituto Politécnico do Porto,3130,Escola Superior de Educação,3131,Público,Politécnico,Línguas e Culturas Estrangeiras,8002,Licenciatura,53,Sim,7,"13,2",2009/10_2012/13,DGES
Instituto Politécnico de Viseu,3180,Escola Superior de Tecnologia e Gestão de Viseu,3182,Público,Politécnico,Gestão de Empresas,9152,Licenciatura,151,Sim,20,"13,2",2009/10_2012/13,DGES
Universidade do Porto,1100,Faculdade de Letras,1107,Público,Universitário,História da Arte,9182,Licenciatura,91,Sim,12,"13,1",2009/10_2012/13,DGES
Universidade de Lisboa,1500,Faculdade de Arquitectura,1501,Público,Universitário,Design,9069,Licenciatura,144,Sim,19,"13,1",2009/10_2012/13,DGES
Instituto Politécnico de Leiria,3100,Escola Superior de Turismo e Tecnologia do Mar de Peniche,3105,Público,Politécnico,Marketing Turístico,9207,Licenciatura,160,Sim,21,"13,1",2009/10_2012/13,DGES
Instituto Português de Administração de Marketing de Matosinhos (Aveiro),4157,Instituto Português de Administração de Marketing de Matosinhos (Aveiro),4157,Privado,Politécnico,Gestão de Marketing,9156,Licenciatura,175,Sim,23,"13,1",2009/10_2012/13,DGEEC
Instituto Universitário da Maia - ISMAI,4358,Instituto Universitário da Maia - ISMAI,4358,Privado,Universitário,Psicologia,9219,Licenciatura,419,Sim,55,"13,1",2009/10_2012/13,DGEEC
Universidade do Porto,1100,Faculdade de Ciências da Nutrição e da Alimentação,1101,Público,Universitário,Ciências da Nutrição,9554,Licenciatura,338,Sim,44,13,2009/10_2012/13,DGES
Universidade Autónoma de Lisboa Luís de Camões,2100,Universidade Autónoma de Lisboa Luís de Camões,2100,Privado,Universitário,Psicologia,9219,Licenciatura,69,Sim,9,13,2009/10_2012/13,DGEEC
Instituto Politécnico do Cávado e do Ave,3030,Escola Superior de Gestão,3031,Público,Politécnico,Finanças,9140,Licenciatura,146,Sim,19,13,2009/10_2012/13,DGES
Instituto Politécnico de Coimbra,3060,Escola Superior de Educação de Coimbra,3062,Público,Politécnico,Teatro e Educação,9899,Licenciatura,46,Sim,6,13,2009/10_2012/13,DGES
Instituto Politécnico do Porto,3130,Escola Superior de Estudos Industriais e de Gestão,3133,Público,Politécnico,Design,9069,Licenciatura,146,Sim,19,13,2009/10_2012/13,DGES
Instituto Politécnico de Viseu,3180,Escola Superior de Tecnologia e Gestão de Lamego,3186,Público,Politécnico,Gestão e Informática,9168,Licenciatura,69,Sim,9,13,2009/10_2012/13,DGES
Instituto Superior Politécnico Gaya,4440,Escola Superior de Ciência e Tecnologia,4442,Privado,Politécnico,Engenharia Electrónica e de Automação,9106,Licenciatura,46,Sim,6,13,2009/10_2012/13,DGEEC
Universidade Católica Portuguesa,2200,Escola Superior de Biotecnologia,2210,Privado,Universitário,Microbiologia,8257,Licenciatura,31,Sim,4,"12,9",2009/10_2012/13,DGEEC
Instituto Politécnico de Coimbra,3060,Escola Superior de Educação de Coimbra,3062,Público,Politécnico,Comunicação Social,9054,Licenciatura,170,Sim,22,"12,9",2009/10_2012/13,DGES
Instituto Politécnico de Leiria,3100,Escola Superior de Educação e Ciências Sociais,3101,Público,Politécnico,Desporto e Bem-Estar,9851,Licenciatura,178,Sim,23,"12,9",2009/10_2012/13,DGES
Instituto Politécnico de Lisboa,3110,Escola Superior de Educação de Lisboa,3112,Público,Politécnico,Animação Sociocultural,9005,Licenciatura,162,Sim,21,"12,9",2009/10_2012/13,DGES
Instituto Politécnico de Viseu,3180,Escola Superior de Tecnologia e Gestão de Viseu,3182,Público,Politécnico,Turismo,9254,Licenciatura,155,Sim,20,"12,9",2009/10_2012/13,DGES
Instituto Superior de Ciências Educativas,4270,Instituto Superior de Ciências Educativas,4270,Privado,Politécnico,Turismo,9254,Licenciatura,62,Sim,8,"12,9",2009/10_2012/13,DGEEC
Universidade do Minho,1000,Universidade do Minho,1000,Público,Universitário,Engenharia e Gestão de Sistemas de Informação,G001,Mestrado Integrado,226,Sim,29,"12,8",2009/10_2012/13,DGES
Universidade do Porto,1100,Faculdade de Letras,1107,Público,Universitário,História,9181,Licenciatura,202,Sim,26,"12,8",2009/10_2012/13,DGES
Instituto Politécnico de Beja,3020,Escola Superior de Educação,3022,Público,Politécnico,Educação e Comunicação Multimédia,9354,Licenciatura,101,Sim,13,"12,8",2009/10_2012/13,DGES
Instituto Politécnico de Leiria,3100,Escola Superior de Educação e Ciências Sociais,3101,Público,Politécnico,Serviço Social,9238,Licenciatura,405,Sim,52,"12,8",2009/10_2012/13,DGES
Instituto Politécnico do Porto,3130,Escola Superior de Educação,3131,Público,Politécnico,Ciências do Desporto,9707,Licenciatura,78,Sim,10,"12,8",2009/10_2012/13,DGES
Universidade do Porto,1100,Faculdade de Ciências,1103,Público,Universitário,Química,9223,Licenciatura,212,Sim,27,"12,7",2009/10_2012/13,DGES
Instituto Superior Miguel Torga,4500,Instituto Superior Miguel Torga,4500,Privado,Universitário,Comunicação Empresarial,9053,Licenciatura,126,Sim,16,"12,7",2009/10_2012/13,DGEEC
Universidade da Beira Interior,400,Universidade da Beira Interior,400,Público,Universitário,Gestão,9147,Licenciatura,189,Sim,24,"12,6",2009/10_2012/13,DGES
Universidade de Aveiro,300,Escola Superior de Saúde de Aveiro,3013,Público,Politécnico,Fisioterapia,9504,Licenciatura,87,Sim,11,"12,6",2009/10_2012/13,DGES
Instituto Politécnico de Castelo Branco,3050,Escola Superior de Gestão de Idanha-a-Nova,3054,Público,Politécnico,Contabilidade e Gestão Financeira,9063,Licenciatura,87,Sim,11,"12,6",2009/10_2012/13,DGES
Instituto Politécnico de Coimbra,3060,Instituto Superior de Contabilidade e Administração de Coimbra,3063,Público,Politécnico,Gestão de Empresas,9152,Licenciatura,324,Sim,41,"12,6",2009/10_2012/13,DGES
Universidade do Algarve,200,Escola Superior de Educação e Comunicação,3081,Público,Politécnico,Educação Social,9084,Licenciatura,189,Sim,24,"12,6",2009/10_2012/13,DGES
Instituto Politécnico da Guarda,3090,"Escola Superior de Educação, Comunicação e Desporto",3091,Público,Politécnico,Comunicação e Relações Públicas,9652,Licenciatura,103,Sim,13,"12,6",2009/10_2012/13,DGES
Instituto Superior de Ciências da Saúde - Norte,4261,Instituto Superior de Ciências da Saúde - Norte,4261,Privado,Universitário,Ciências Farmacêuticas,9494,Mestrado Integrado,206,Sim,26,"12,6",2009/10_2012/13,DGEEC
Instituto Politécnico de Bragança,3040,Escola Superior de Saúde de Bragança,7015,Público,Politécnico,Farmácia,9549,Licenciatura,150,Sim,19,"12,6",2009/10_2012/13,DGES
Universidade de Coimbra,500,Faculdade de Letras,505,Público,Universitário,Estudos Artísticos,9132,Licenciatura,127,Sim,16,"12,5",2009/10_2012/13,DGES
Universidade de Coimbra,500,Faculdade de Letras,505,Público,Universitário,Geografia,9143,Licenciatura,176,Sim,22,"12,5",2009/10_2012/13,DGES
Universidade Nova de Lisboa,900,Faculdade de Ciências Sociais e Humanas,902,Público,Universitário,Geografia e Planeamento Regional,9145,Licenciatura,224,Sim,28,"12,5",2009/10_2012/13,DGES
Universidade do Porto,1100,Faculdade de Letras,1107,Público,Universitário,Estudos Portugueses e Lusófonos,9138,Licenciatura,48,Sim,6,"12,5",2009/10_2012/13,DGES
Universidade de Trás-os-Montes e Alto Douro,1200,Escola de Ciências da Vida e do Ambiente,1204,Público,Universitário,Bioengenharia,9540,Licenciatura,32,Sim,4,"12,5",2009/10_2012/13,DGES
Universidade de Lisboa,1500,Faculdade de Belas-Artes,1502,Público,Universitário,Design de Equipamento,9072,Licenciatura,128,Sim,16,"12,5",2009/10_2012/13,DGES
Universidade Lusíada,2400,Universidade Lusíada,2400,Privado,Universitário,Turismo,9254,Licenciatura,56,Sim,7,"12,5",2009/10_2012/13,DGEEC
Universidade Lusófona de Humanidades e Tecnologias,2800,Universidade Lusófona de Humanidades e Tecnologias,2800,Privado,Universitário,Direito,9078,Licenciatura,375,Sim,47,"12,5",2009/10_2012/13,DGEEC
Instituto Politécnico da Guarda,3090,Escola Superior de Tecnologia e Gestão,3092,Público,Politécnico,Engenharia Civil,9089,Licenciatura,88,Sim,11,"12,5",2009/10_2012/13,DGES
Instituto Politécnico de Leiria,3100,Escola Superior de Artes e Design das Caldas da Rainha,3103,Público,Politécnico,Design Gráfico e Multimédia,9729,Licenciatura,342,Sim,43,"12,5",2009/10_2012/13,DGES
Instituto Politécnico de Leiria,3100,Escola Superior de Turismo e Tecnologia do Mar de Peniche,3105,Público,Politécnico,Tecnologia e Segurança Alimentar,L028,Licenciatura,128,Sim,16,"12,5",2009/10_2012/13,DGES
Instituto Politécnico de Portalegre,3120,Escola Superior Agrária,3123,Público,Politécnico,Equinicultura,9130,Licenciatura,32,Sim,4,"12,5",2009/10_2012/13,DGES
Instituto Português de Administração de Marketing de Lisboa,4156,Instituto Português de Administração de Marketing de Lisboa,4156,Privado,Politécnico,Gestão de Marketing,9156,Licenciatura,480,Sim,60,"12,5",2009/10_2012/13,DGEEC
Instituto Superior Manuel Teixeira Gomes,4375,Instituto Superior Manuel Teixeira Gomes,4375,Privado,Universitário,Psicologia,9219,Licenciatura,72,Sim,9,"12,5",2009/10_2012/13,DGEEC
Instituto Politécnico de Bragança,3040,Escola Superior de Tecnologia e de Gestão de Bragança,3043,Público,Politécnico,Contabilidade,9056,Licenciatura,129,Sim,16,"12,4",2009/10_2012/13,DGES
Instituto Politécnico de Leiria,3100,Escola Superior de Educação e Ciências Sociais,3101,Público,Politécnico,Relações Humanas e Comunicação Organizacional,9797,Licenciatura,137,Sim,17,"12,4",2009/10_2012/13,DGES
Universidade de Aveiro,300,Instituto Superior de Contabilidade e Administração de Aveiro,3011,Público,Politécnico,Finanças,9140,Licenciatura,113,Sim,14,"12,3",2009/10_2012/13,DGES
Universidade de Aveiro,300,Escola Superior de Tecnologia e Gestão de Águeda,3012,Público,Politécnico,Gestão Pública e Autárquica,9769,Licenciatura,89,Sim,11,"12,3",2009/10_2012/13,DGES
Instituto Politécnico de Viana do Castelo,3160,Escola Superior de Tecnologia e Gestão,3163,Público,Politécnico,Gestão,9147,Licenciatura,194,Sim,24,"12,3",2009/10_2012/13,DGES
Universidade do Algarve,200,Escola Superior de Saúde,7035,Público,Politécnico,Farmácia,9549,Licenciatura,73,Sim,9,"12,3",2009/10_2012/13,DGES
