Estabelecimento,CodigoEstabelecimento,UnidadeOrganica,CodigoUnidadeOrganica,Natureza,TipoEnsino,NomeCurso,CodigoCurso,Grau,NumeroDiplomadosCurso,AmostraAceite,NumeroDiplomadosDesempregados,TaxaDesempregoRegistadoCurso,AnosLetivosDiplomados,Fonte
Instituto Politécnico de Portalegre,3120,Escola Superior de Tecnologia e Gestão,3122,Público,Politécnico,Gestão,9147,Licenciatura,188,Sim,14,"7,4",2009/10_2012/13,DGES
Instituto Politécnico do Porto,3130,Escola Superior de Estudos Industriais e de Gestão,3133,Público,Politécnico,Ciências e Tecnologias da Documentação e Informação,9043,Licenciatura,54,Sim,4,"7,4",2009/10_2012/13,DGES
Instituto Politécnico de Viseu,3180,Escola Superior de Tecnologia e Gestão de Lamego,3186,Público,Politécnico,Secretariado de Administração (regime nocturno),9800,Licenciatura,107,Sim,8,"7,4",2009/10_2012/13,DGES
Universidade do Porto,1100,Faculdade de Ciências,1103,Público,Universitário,Biologia,9011,Licenciatura,396,Sim,29,"7,3",2009/10_2012/13,DGES
Universidade do Porto,1100,Instituto de Ciências Biomédicas Abel Salazar,1110,Público,Universitário,Medicina Veterinária,9847,Mestrado Integrado,204,Sim,15,"7,3",2009/10_2012/13,DGES
Universidade de Lisboa,1500,Faculdade de Letras,1506,Público,Universitário,História da Arte,9182,Licenciatura,95,Sim,7,"7,3",2009/10_2012/13,DGES
Universidade de Lisboa,1500,Instituto Superior Técnico (Alameda),1518,Público,Universitário,Engenharia Química,9461,Mestrado Integrado,150,Sim,11,"7,3",2009/10_2012/13,DGES
Universidade Católica Portuguesa,2200,Escola Superior de Biotecnologia,2210,Privado,Universitário,Bioengenharia,9540,Licenciatura,82,Sim,6,"7,3",2009/10_2012/13,DGEEC
Universidade Lusófona de Humanidades e Tecnologias,2800,Universidade Lusófona de Humanidades e Tecnologias,2800,Privado,Universitário,Engenharia Civil,9089,Licenciatura,151,Sim,11,"7,3",2009/10_2012/13,DGEEC
Instituto Politécnico de Tomar,3240,Escola Superior de Tecnologia de Abrantes,3243,Público,Politécnico,Tecnologias de Informação e Comunicação,9250,Licenciatura,41,Sim,3,"7,3",2009/10_2012/13,DGES
Instituto Superior D. Afonso III,4290,Instituto Superior D. Afonso III,4290,Privado,Universitário,Educação Física e Desporto,9736,Licenciatura,82,Sim,6,"7,3",2009/10_2012/13,DGEEC
Instituto Superior de Educação e Ciências,4298,Instituto Superior de Educação e Ciências,4298,Privado,Politécnico,Gestão Aeronáutica,8042,Licenciatura,41,Sim,3,"7,3",2009/10_2012/13,DGEEC
Universidade da Beira Interior,400,Universidade da Beira Interior,400,Público,Universitário,Engenharia Aeronáutica,8470,Mestrado Integrado,69,Sim,5,"7,2",2009/10_2012/13,DGES
Universidade de Coimbra,500,Faculdade de Economia,503,Público,Universitário,Economia,9081,Licenciatura,521,Sim,38,"7,2",2009/10_2012/13,DGES
Instituto Politécnico de Coimbra,3060,Escola Superior de Educação de Coimbra,3062,Público,Politécnico,Música,9214,Licenciatura,42,Sim,3,"7,1",2009/10_2012/13,DGES
Instituto Politécnico da Guarda,3090,Escola Superior de Turismo e Hotelaria,3095,Público,Politécnico,Gestão Hoteleira,9173,Licenciatura,112,Sim,8,"7,1",2009/10_2012/13,DGES
Escola Superior de Enfermagem de Santa Maria,4097,Escola Superior de Enfermagem de Santa Maria,4097,Privado,Politécnico,Enfermagem,9500,Licenciatura,281,Sim,20,"7,1",2009/10_2012/13,DGEEC
Universidade do Minho,1000,Universidade do Minho,1000,Público,Universitário,Línguas Aplicadas,9192,Licenciatura,141,Sim,10,7,2009/10_2012/13,DGES
Universidade do Porto,1100,Faculdade de Letras,1107,Público,Universitário,Línguas e Relações Internacionais,9197,Licenciatura,127,Sim,9,7,2009/10_2012/13,DGES
Instituto Politécnico de Castelo Branco,3050,Escola Superior de Educação de Castelo Branco,3052,Público,Politécnico,Educação Básica,9853,Licenciatura,155,Sim,11,7,2009/10_2012/13,DGES
Instituto Politécnico de Portalegre,3120,Escola Superior de Educação,3121,Público,Politécnico,Educação Básica,9853,Licenciatura,57,Sim,4,7,2009/10_2012/13,DGES
Universidade Lusófona do Porto,4032,Universidade Lusófona do Porto,4032,Privado,Universitário,"Estudos Europeus, Estudos Lusófonos e Relações Internacionais",8378,Licenciatura,43,Sim,3,7,2009/10_2012/13,DGEEC
Escola Superior de Saúde Ribeiro Sanches,4104,Escola Superior de Saúde Ribeiro Sanches,4104,Privado,Politécnico,Farmácia,9549,Licenciatura,86,Sim,6,7,2009/10_2012/13,DGEEC
Universidade do Porto,1100,Faculdade de Letras,1107,Público,Universitário,Línguas Aplicadas,9192,Licenciatura,86,Sim,6,"6,9",2009/10_2012/13,DGES
Instituto Politécnico de Viana do Castelo,3160,Escola Superior de Tecnologia e Gestão,3163,Público,Politécnico,Engenharia da Computação Gráfica e Multimédia,8407,Licenciatura,43,Sim,3,"6,9",2009/10_2012/13,DGES
Instituto Superior de Entre Douro e Vouga,4283,Instituto Superior de Entre Douro e Vouga,4283,Privado,Politécnico,Gestão de Empresas,9152,Licenciatura,173,Sim,12,"6,9",2009/10_2012/13,DGEEC
Universidade Europeia,4350,Universidade Europeia,4350,Privado,Universitário,Turismo,9254,Licenciatura,217,Sim,15,"6,9",2009/10_2012/13,DGEEC
Instituto Politécnico de Bragança,3040,Escola Superior de Tecnologia e de Gestão de Bragança,3043,Público,Politécnico,Engenharia Informática,9119,Licenciatura,88,Sim,6,"6,8",2009/10_2012/13,DGES
Universidade do Algarve,200,"Escola Superior de Gestão, Hotelaria e Turismo (Portimão)",3087,Público,Politécnico,Turismo,9254,Licenciatura,73,Sim,5,"6,8",2009/10_2012/13,DGES
Instituto Politécnico de Santarém,3140,Escola Superior de Gestão e Tecnologia de Santarém,3143,Público,Politécnico,Contabilidade e Fiscalidade,9498,Licenciatura,147,Sim,10,"6,8",2009/10_2012/13,DGES
Universidade de Coimbra,500,Faculdade de Farmácia,504,Público,Universitário,Ciências Farmacêuticas,9494,Mestrado Integrado,668,Sim,45,"6,7",2009/10_2012/13,DGES
Escola Superior de Saúde da Cruz Vermelha Portuguesa,4091,Escola Superior de Saúde da Cruz Vermelha Portuguesa,4091,Privado,Politécnico,Enfermagem,9500,Licenciatura,149,Sim,10,"6,7",2009/10_2012/13,DGEEC
CESPU-Instituto Politécnico de Saúde do Norte,4107,Escola Superior de Saúde do Vale do Sousa,4109,Privado,Politécnico,Enfermagem,9500,Licenciatura,283,Sim,19,"6,7",2009/10_2012/13,DGEEC
Universidade Nova de Lisboa,900,Faculdade de Ciências Sociais e Humanas,902,Público,Universitário,Sociologia,9240,Licenciatura,212,Sim,14,"6,6",2009/10_2012/13,DGES
Universidade de Lisboa,1500,Faculdade de Motricidade Humana,1510,Público,Universitário,Dança,9068,Licenciatura,45,Sim,3,"6,6",2009/10_2012/13,DGES
Universidade de Lisboa,1500,Instituto Superior de Agronomia,1515,Público,Universitário,Engenharia Florestal e dos Recursos Naturais,8377,Licenciatura,60,Sim,4,"6,6",2009/10_2012/13,DGES
Instituto Politécnico de Castelo Branco,3050,Escola Superior de Artes Aplicadas de Castelo Branco,3055,Público,Politécnico,"Música, variante de Música Electrónica e Produção Musical",9816,Licenciatura,30,Sim,2,"6,6",2009/10_2012/13,DGES
Instituto Politécnico de Setúbal,3150,Escola Superior de Tecnologia de Setúbal,3152,Público,Politécnico,Engenharia Mecânica,9123,Licenciatura,136,Sim,9,"6,6",2009/10_2012/13,DGES
Instituto Superior de Tecnologias Avançadas de Lisboa,4530,Instituto Superior de Tecnologias Avançadas de Lisboa,4530,Privado,Politécnico,Informática,9185,Licenciatura,183,Sim,12,"6,6",2009/10_2012/13,DGEEC
